Year	C14_INTCAL20	Be10_Greenland	Be10_Antarctica
-6999	1.07602	1.15800	1.11698
-6977	1.01195	1.04048	1.10815
-6955	0.89165	0.91788	0.98448
-6933	0.86961	0.86513	0.92662
-6911	0.92949	1.00392	0.95132
-6889	0.84663	0.96136	1.00883
-6867	0.73991	0.86905	0.92632
-6845	0.75989	0.84718	0.79464
-6823	0.88169	0.83841	0.90959
-6801	0.83964	0.98213	0.89332
-6779	0.81700	0.98288	0.86858
-6757	0.82952	0.99686	0.86855
-6735	0.82985	0.84431	0.87672
-6713	0.70895	0.88895	0.85208
-6691	0.89928	0.93261	0.86875
-6669	0.82664	1.10549	0.98422
-6647	1.01328	1.00954	1.05041
-6625	0.96733	0.95333	1.07523
-6603	0.95160	0.95993	1.05880
-6581	1.02217	0.99853	1.05058
-6559	0.98466	1.04456	1.07496
-6537	0.86180	0.96883	0.94335
-6515	0.86762	0.94059	0.97613
-6493	0.90775	0.81413	1.04201
-6471	1.00124	0.96937	1.00954
-6449	1.06236	1.22742	1.14963
-6427	1.15490	1.12248	1.23250
-6405	1.14572	1.16954	1.32291
-6383	1.17560	1.10938	1.16683
-6361	1.16596	1.18654	1.24049
-6339	1.10721	1.03912	1.19904
-6317	0.98628	0.96198	1.00132
-6295	0.87511	0.94690	1.00056
-6273	0.88488	0.90090	0.86080
-6251	0.94905	1.00227	0.95952
-6229	1.16961	1.01740	1.05887
-6207	1.18683	1.19108	1.19868
-6185	1.03766	1.14494	1.02618
-6163	1.01720	1.19410	1.06681
-6141	0.90760	0.98612	1.00101
-6119	0.83113	0.94694	0.99249
-6097	0.89472	1.11624	0.93521
-6075	1.09011	1.09948	1.09969
-6053	1.11906	0.99076	1.06720
-6031	1.07215	0.89081	1.10010
-6009	1.14348	1.13305	1.11688
-5987	1.21348	1.09959	1.22399
-5965	1.28265	1.14499	1.23200
-5943	0.94924	1.01728	1.02608
-5921	1.07807	0.96757	0.99313
-5899	1.07991	1.12331	1.19073
-5877	1.15494	1.15775	1.21542
-5855	0.98815	1.06001	1.00973
-5833	1.12048	0.96652	1.05859
-5811	1.02116	1.07766	1.02582
-5789	1.04963	0.97375	1.05039
-5767	0.99838	0.99648	1.02562
-5745	1.03447	0.93344	0.96850
-5723	1.19535	1.12912	1.22369
-5701	1.18586	1.32469	1.24837
-5679	1.06764	1.07945	0.98523
-5657	1.15285	1.06929	1.11653
-5635	1.15489	1.16175	1.18317
-5613	1.41548	1.21393	1.38854
-5591	1.13431	1.26612	1.10914
-5569	1.13296	1.04547	1.14954
-5547	1.18112	1.20713	1.09218
-5525	1.18214	1.11669	1.17430
-5503	1.09728	1.07989	1.13345
-5481	1.28895	1.04346	1.19142
-5459	1.43982	1.46542	1.38061
-5437	1.17057	1.15602	1.23241
-5415	1.11386	1.26182	1.05105
-5393	1.09265	1.29102	1.10835
-5371	1.22115	1.14331	1.14140
-5349	1.17148	1.17247	1.13307
-5327	1.14969	1.12307	1.05926
-5305	1.32732	1.52202	1.19936
-5283	1.31091	1.09648	1.32283
-5261	1.09558	1.22591	1.16644
-5239	0.98112	1.25771	1.06759
-5217	1.27832	1.34700	1.20754
-5195	1.43057	1.43630	1.29007
-5173	1.13180	0.96401	1.23215
-5151	1.05614	1.06301	1.02631
-5129	1.03543	0.92339	1.09145
-5107	1.03407	1.05298	0.97632
-5085	0.95728	1.11366	0.97615
-5063	1.04223	1.13427	1.01746
-5041	1.10860	1.00972	1.07517
-5019	1.05420	1.02819	1.06718
-4997	1.13396	1.29878	1.11659
-4975	1.08581	1.19272	1.12473
-4953	1.06034	1.09542	1.03452
-4931	1.11489	1.38536	1.19049
-4909	1.05720	1.08064	1.06735
-4887	1.09384	1.16058	1.07511
-4865	0.94474	1.05090	0.99283
-4843	1.08789	0.97217	1.00928
-4821	1.05955	1.06575	1.08326
-4799	1.06519	0.90789	1.00984
-4777	1.13951	1.00940	1.23976
-4755	1.03049	0.97994	1.03439
-4733	1.00974	0.89364	1.01776
-4711	1.15563	1.09338	1.14960
-4689	1.14395	1.22057	1.20739
-4667	1.12922	1.02578	1.14149
-4645	1.07328	0.95604	1.07526
-4623	0.98480	0.87418	0.98471
-4601	1.06987	1.17178	1.05842
-4579	1.01722	1.07886	0.97634
-4557	0.97140	0.98266	1.01742
-4535	1.12174	1.21999	1.05855
-4513	1.01090	1.01699	1.00101
-4491	1.11296	1.22162	1.00091
-4469	0.98511	1.03056	1.01792
-4447	1.21037	1.13275	1.25653
-4425	1.08535	1.02605	1.15798
-4403	1.01420	1.10748	1.03421
-4381	0.98597	1.08732	1.01762
-4359	1.11254	1.19708	1.09205
-4337	1.31281	1.22465	1.24903
-4315	1.37862	1.38206	1.40523
-4293	1.10992	1.04610	1.14187
-4271	1.05936	0.99922	1.04265
-4249	1.20071	1.21271	1.12488
-4227	1.29911	1.26345	1.17439
-4205	1.16498	1.12439	1.14138
-4183	0.96097	1.11340	1.05906
-4161	1.18300	1.17143	1.10000
-4139	1.03855	1.04934	1.08339
-4117	0.94055	1.12261	0.97615
-4095	0.88728	0.92487	0.91020
-4073	0.90410	1.00980	0.98418
-4051	1.08277	1.02312	0.99283
-4029	1.12546	1.16265	1.09957
-4007	0.94927	0.89608	0.95998
-3985	1.09767	1.15842	1.02582
-3963	1.20406	1.22735	1.14969
-3941	1.31425	1.10393	1.24045
-3919	1.22297	1.07472	1.19932
-3897	1.19352	1.10106	1.12484
-3875	1.00558	1.00541	1.00095
-3853	0.91730	0.88339	0.91007
-3831	0.90146	0.99186	0.90175
-3809	0.98760	0.88023	0.95132
-3787	1.09021	1.07384	1.03383
-3765	1.10568	1.04807	1.05857
-3743	1.02278	1.04431	0.99270
-3721	0.96221	0.95736	0.96803
-3699	1.12052	1.25926	1.05013
-3677	0.93581	0.93634	0.96829
-3655	1.05900	1.05649	1.10854
-3633	1.37164	1.43552	1.30624
-3611	1.30735	1.46964	1.19943
-3589	1.17035	1.14102	1.10831
-3567	1.05364	1.00760	0.97623
-3545	0.95414	0.89871	0.91874
-3523	1.18991	1.01902	1.11634
-3501	1.23110	1.36566	1.16620
-3479	1.23377	1.45297	1.16584
-3457	1.02249	1.29681	0.95997
-3435	0.93661	1.01815	0.95111
-3413	0.88238	0.83695	0.88522
-3391	0.86631	0.91674	0.88565
-3369	1.20163	1.11984	1.14114
-3347	1.27057	1.38277	1.24047
-3325	1.29387	1.27501	1.21575
-3303	1.20015	1.28831	1.10856
-3281	1.12880	1.30315	1.06712
-3259	1.10451	1.20230	1.05835
-3237	0.95208	1.07606	0.86067
-3215	0.84540	1.04246	0.84377
-3193	0.88250	1.06597	0.85197
-3171	0.94025	0.98149	0.85204
-3149	0.80224	0.91834	0.87663
-3127	0.83420	0.87809	0.82762
-3105	0.91972	1.08563	0.97578
-3083	1.03706	1.05231	1.00052
-3061	0.90658	0.91085	0.86879
-3039	0.87899	0.94968	0.85232
-3017	1.00468	1.18416	0.98390
-2995	0.96845	1.00728	0.92645
-2973	0.86840	0.96093	0.87680
-2951	0.85302	0.84123	0.82751
-2929	0.88999	1.14039	0.92658
-2907	1.06096	1.24582	1.09155
-2885	1.21706	1.24181	1.11685
-2863	1.27876	1.21723	1.21556
-2841	1.26424	1.04867	1.14980
-2819	1.11149	1.08994	1.09969
-2797	0.84552	0.98173	0.85256
-2775	0.92909	0.88759	0.86050
-2753	0.95215	0.90173	0.97565
-2731	0.90925	0.97872	0.90998
-2709	0.82817	0.91023	0.88530
-2687	0.89272	0.97958	0.95922
-2665	0.93306	0.96970	0.90171
-2643	0.85368	1.01169	0.88531
-2621	0.94696	0.96887	0.97559
-2599	0.86122	0.81776	0.86082
-2577	0.98667	1.01454	0.99249
-2555	1.05435	1.11257	1.07476
-2533	0.88886	0.96142	0.91011
-2511	0.79565	0.85378	0.84411
-2489	0.92614	0.98765	0.95119
-2467	1.07374	1.19813	1.03372
-2445	1.08892	1.14311	1.00903
-2423	0.97678	0.94234	0.93493
-2401	0.99450	1.13114	0.95925
-2379	0.86212	0.79019	0.86870
-2357	0.86183	1.01555	0.85213
-2335	0.93584	1.02859	0.90139
-2313	0.83383	0.93776	0.85236
-2291	0.93895	1.06527	0.96749
-2269	0.98811	0.96134	0.95098
-2247	0.80557	0.88647	0.81927
-2225	0.82299	0.97174	0.85210
-2203	0.95002	1.08934	0.93446
-2181	0.93172	1.10090	0.90974
-2159	0.80536	1.02148	0.81938
-2137	0.99764	0.95427	0.94269
-2115	0.99194	1.05227	0.94284
-2093	0.84375	0.87313	0.88502
-2071	0.77969	0.75865	0.80267
-2049	0.82283	0.80868	0.86031
-2027	0.96054	1.03766	0.94258
-2005	0.92507	0.98732	0.85228
-1983	0.84794	0.86686	0.89316
-1961	0.87211	0.79385	0.85234
-1939	0.92154	0.96834	0.96732
-1917	0.89217	0.93828	0.87704
-1895	0.90570	0.86212	0.89362
-1873	1.07708	1.02556	1.03333
-1851	0.92257	0.84135	0.89355
-1829	0.82861	0.87932	0.84388
-1807	0.83907	0.92768	0.86847
-1785	0.77866	0.91294	0.86860
-1763	0.87105	0.91865	0.90154
-1741	0.97877	0.94152	0.90160
-1719	0.87085	0.82118	0.89325
-1697	0.86435	0.88771	0.84397
-1675	0.91172	0.90513	0.90976
-1653	0.82803	0.94408	0.91820
-1631	0.86530	0.91511	0.94307
-1609	0.97231	1.00812	1.00883
-1587	0.89123	0.88604	0.93466
-1565	0.82043	0.81045	0.84396
-1543	0.84395	0.83065	0.86037
-1521	0.90283	0.96492	0.92650
-1499	1.04145	0.97889	1.02509
-1477	0.90934	0.99701	0.86071
-1455	0.91362	1.02110	0.89340
-1433	0.96857	1.06209	0.95128
-1411	1.04256	1.10858	1.02567
-1389	1.05979	0.98346	1.09149
-1367	1.06881	0.97611	0.99277
-1345	0.86535	0.88257	0.96762
-1323	0.82565	0.80153	0.86881
-1301	0.90225	0.88642	0.89344
-1279	0.90702	0.78657	0.95927
-1257	0.95231	0.83677	0.91825
-1235	0.87178	0.81502	0.91816
-1213	0.95443	0.90141	0.91820
-1191	0.96027	0.97269	0.93461
-1169	0.85908	0.85387	0.90976
-1147	0.82253	0.90275	0.82739
-1125	0.88667	0.82607	0.84384
-1103	0.89968	0.87051	0.91791
-1081	0.84462	0.94886	0.88515
-1059	0.81977	0.91216	0.88505
-1037	0.86001	0.89971	0.87678
-1015	0.87222	0.86868	0.86042
-993	0.89575	1.08939	0.91810
-971	0.90743	1.07479	0.95083
-949	0.79289	0.79940	0.80275
-927	0.88069	0.78556	0.82736
-905	0.94636	0.99332	0.93440
-883	0.93697	0.89243	0.90961
-861	0.81690	0.71270	0.76150
-839	0.85951	0.77157	0.83552
-817	0.95485	0.91159	0.94312
-795	1.13756	1.12724	1.11634
-773	1.17874	1.16032	1.14131
-751	1.19854	1.08893	1.08372
-729	1.15483	1.06633	1.08348
-707	1.05989	0.92653	1.03353
-685	0.84485	0.79908	0.79489
-663	0.98606	1.05500	0.90949
-641	0.79841	0.79058	0.85193
-619	0.78440	0.84635	0.76959
-597	0.76475	0.78837	0.82702
-575	0.77783	0.75024	0.81895
-553	0.81268	0.85163	0.83559
-531	0.86903	0.84641	0.91790
-509	0.84887	0.79611	0.88498
-487	0.80507	0.79637	0.81083
-465	0.80574	0.80882	0.82694
-443	0.76011	0.67942	0.74486
-421	0.76407	0.78385	0.84354
-399	1.01352	0.86701	0.86888
-377	1.08982	0.95421	1.05028
-355	1.13069	1.01692	1.13300
-333	1.13030	1.06472	1.11653
-311	0.91102	0.78188	1.03372
-289	0.82920	0.80968	0.84411
-267	0.75218	0.75969	0.82711
-245	0.74476	0.83214	0.78594
-223	0.80682	0.81631	0.80254
-201	0.91716	0.76403	0.90150
-179	0.89723	0.76454	0.95106
-157	0.94186	0.84385	0.91816
-135	0.87214	0.85042	0.88518
-113	0.84642	0.84039	0.90141
-91	0.88670	0.85422	0.82732
-69	0.76885	0.78881	0.81907
-47	0.94222	0.90758	0.88505
-25	0.93542	0.76907	0.94264
-3	0.82592	0.79040	0.84054
19	0.92245	0.81389	0.93233
41	0.86186	0.75184	0.93798
63	0.88056	0.96074	0.96679
85	0.90202	0.83214	0.97846
107	0.81689	0.80722	0.92039
129	0.95490	1.06426	0.95077
151	0.87101	0.76617	0.94869
173	0.84742	0.85632	0.82410
195	0.80040	0.79390	0.88508
217	0.89548	0.82952	0.85513
239	0.97024	0.80807	0.92372
261	1.10206	0.95840	0.97760
283	0.84135	0.88446	0.95317
305	0.78640	0.73546	0.84463
327	0.86885	0.72829	0.86544
349	0.89458	0.78067	0.85640
371	0.88058	0.77305	0.82326
393	0.84900	0.78538	0.83444
415	0.99479	0.90263	0.94036
437	1.04186	0.90103	1.02795
459	0.90765	0.84732	1.01983
481	0.92386	0.89513	0.93276
503	0.80530	0.87932	0.90933
525	0.79648	0.76219	0.89469
547	0.93743	0.88261	0.91586
569	0.95343	0.89495	0.92197
591	0.96003	0.92040	0.97280
613	1.00497	0.98549	1.01118
635	0.94433	0.93908	1.01027
657	1.15025	1.09584	1.14817
679	1.19548	1.25751	1.13933
701	1.14163	1.06312	1.17607
723	1.04700	0.98610	1.03364
745	0.86137	0.79405	0.89975
767	1.08100	0.85755	0.96326
789	0.98754	0.93952	1.06282
811	0.94400	0.76800	1.02205
833	0.98052	0.85372	0.99250
855	0.88199	0.84883	0.97713
877	0.94125	0.80934	0.95472
899	1.08337	0.92572	1.01716
921	0.90726	0.90833	1.01412
943	0.88040	0.82783	0.88055
965	0.89617	0.72449	0.96769
987	1.01179	0.96594	0.98565
1009	0.96420	0.93779	1.13393
1031	1.13931	1.09686	1.10463
1053	1.16150	0.88231	1.18366
1075	1.00014	0.88190	1.07413
1097	0.91165	0.82152	0.87427
1119	0.89277	0.91273	0.91715
1141	0.86892	0.75635	0.86329
1163	1.00908	0.92566	0.96098
1185	0.96602	1.00255	0.96941
1207	0.95096	0.86692	0.91106
1229	1.08009	0.96753	0.96742
1251	0.96953	0.88326	0.97931
1273	1.15456	1.07625	1.09362
1295	1.25479	1.13701	1.14145
1317	1.27857	1.07316	1.21558
1339	1.19472	1.00766	1.06765
1361	0.92600	0.89455	0.87020
1383	1.00804	0.94012	0.97466
1405	1.19624	1.00715	1.11082
1427	1.24224	1.11353	1.22957
1449	1.34194	1.15689	1.36001
1471	1.30547	1.23030	1.31218
1493	1.25989	1.08142	1.19820
1515	1.24686	1.13003	1.23462
1537	1.22705	1.15682	1.20863
1559	1.08021	1.01037	1.07120
1581	0.98511	0.95213	1.06515
1603	0.89814	0.95283	0.94825
1625	1.01973	0.94503	0.99748
1647	1.17651	1.13122	1.12133
1669	1.28091	1.20931	1.26667
1691	1.33998	1.43196	1.12118
1713	1.23671	1.32426	1.07793
1735	0.95643	0.96298	0.89834
1757	0.95478	1.06061	0.91452
1779	0.82014	0.93800	0.86418
1801	1.03652	1.08605	1.10048
1823	1.08085	1.28791	1.02849
