% The monthly values of the modulation parameter (in MV) reconstructed from the ground based cosmic ray data, 
% using the the procedure described in Refs.(1 and 2).         
% Data for the period Jun-1936 - Apr-1951 were taken from the pseudo-Climax NM count
% rate (ref. 3), and since 
% Apr-1951 onwards - from the world NM network (Ref.1 and 2).             
% Local Interstellar spectrum (LIS) corresponds to Ref. (4)
%
% References:                 
% [1] Usoskin, I.G., K. Alanko-Huotari, G.A. Kovaltsov, and K. Mursula, Heliospheric 
% modulation of cosmic rays: 
% Monthly reconstruction for 1951-2004, J. Geophys. Res., 110, A12108, 2005 (doi:10.1029/2005JA011250).      
% [2] Usoskin, I. G., G. A. Bazilevskaya, and G. A. Kovaltsov, Solar modulation parameter for cosmic rays since 
% 1936 reconstructed from ground-based neutron monitors and ionization chambers, J. Geophys. Res., 116, 2011 
% (doi:10.1029/2010JA016105).                
% [3] McCracken, K.G., and J. Beer, Long-term changes in the cosmic ray intensity at Earth, 1428-2005, J. Geophys. 
% Res., 112, A10101, 2007 (doi:10.1029/2006JA012117).        
% [4] Burger, R. A., M. S. Potgieter, and B. Heber (2000), Rigidity dependence of cosmic ray proton latitudinal 
%     gradients measured by the Ulysses spacecraft: Implication for the diffusion tensor, J. Geophys. Res., 105, 27,447. 
%				
%
% +++++++++++++++++++++++++++++++++++++++++++	
% Year     Phi (MV)
%
1936.500   252   
1936.583   242   
1936.667   260   
1936.750   271   
1936.833   290   
1936.917   363   
1937.000   401   
1937.083   451   
1937.167   516   
1937.250   550   
1937.333   546   
1937.417   662   
1937.500   557   
1937.583   588   
1937.667   546
1937.750   553
1937.833   492
1937.917   496
1938.000   716
1938.083   696
1938.167   560
1938.250   650
1938.333   502
1938.417   401
1938.500   348
1938.583   371
1938.667   389
1938.750   401
1938.833   401
1938.917   416
1939.000   416
1939.083   509
1939.167   506
1939.250   599
1939.333   632
1939.417   509
1939.500   422
1939.583   345
1939.667   389
1939.750   389
1939.833   295
1939.917   303
1940.000   287
1940.083   300
1940.167   292
1940.250   290
1940.333   255
1940.417   273
1940.500   268
1940.583   281
1940.667   287
1940.750   295
1940.833   320
1940.917   345
1941.000   389
1941.083   342
1941.167   371
1941.250   354
1941.333   323
1941.417   287
1941.500   303
1941.583   271
1941.667   309
1941.750   268
1941.833   273
1941.917   311
1942.000   273
1942.083   273
1942.167   447
1942.250   340
1942.333   287
1942.417   268
1942.500   279
1942.583   239
1942.667   237
1942.750   245
1942.833   242
1942.917   237
1943.000   250
1943.083   255
1943.167   258
1943.250   271
1943.333   268
1943.417   271
1943.500   306
1943.583   309
1943.667   314
1943.750   292
1943.833   279
1943.917   273
1944.000   279
1944.083   263
1944.167   258
1944.250   239
1944.333   211
1944.417   187
1944.500   184
1944.583   192
1944.667   177
1944.750   184
1944.833   170
1944.917   211
1945.000   250
1945.083   250
1945.167   334
1945.250   340
1945.333   258
1945.417   258
1945.500   255
1945.583   245
1945.667   234
1945.750   229
1945.833   242
1945.917   245
1946.000   303
1946.083   768
1946.167   610
1946.250   581
1946.333   647
1946.417   595
1946.500   602
1946.583   550
1946.667   578
1946.750   486
1946.833   457
1946.917   407
1947.000   432
1947.083   413
1947.167   560
1947.250   685
1947.333   658
1947.417  1166
1947.500   925
1947.583  1031
1947.667  1128
1947.750  1001
1947.833   911
1947.917   827
1948.000   716
1948.083   677
1948.167   708
1948.250   602
1948.333   748
1948.417   581
1948.500   581
1948.583   595
1948.667   712
1948.750   669
1948.833   602
1948.917   588
1949.000   696
1949.083   677
1949.167   613
1949.250   632
1949.333   585
1949.417   539
1949.500   486
1949.583   522
1949.667   479
1949.750   599
1949.833   526
1949.917   486
1950.000   606
1950.083   628
1950.167   512
1950.250   512
1950.333   526
1950.417   473
1950.500   496
1950.583   463
1950.667   512
1950.750   512
1950.833   435
1950.917   416
1951.000   492
1951.083   647
1951.167   631
1951.250   618
1951.333   555
1951.417   510
1951.500   553
1951.583   587
1951.667   523
1951.750   514
1951.833   535
1951.917   513
1952.000   551
1952.083   567
1952.167   587
1952.250   546
1952.333   489
1952.417   464
1952.500   447
1952.583   448
1952.667   436
1952.750   490
1952.833   465
1952.917   483
1953.000   515
1953.083   497
1953.167   506
1953.250   500
1953.333   500
1953.417   482
1953.500   495
1953.583   488
1953.667   483
1953.750   469
1953.833   472
1953.917   453
1954.000   445
1954.083   427
1954.167   401
1954.250   411
1954.333   404
1954.417   407
1954.500   399
1954.583   376
1954.667   384
1954.750   386
1954.833   399
1954.917   411
1955.000   462
1955.083   413
1955.167   409
1955.250   409
1955.333   399
1955.417   406
1955.500   405
1955.583   417
