t,dt,rad,colat,lat,lon,D,dD,I,dI,F,dF,UID,FID
-6800,200.0,6371.2,53.583,36.417,38.170,,,,,54.800,3.341,10459,""
-6750,125.0,6371.2,62.028,27.972,-15.468,-3.000,3.068,36.700,2.460,48.100,3.958,10733,""
-6690,100.0,6371.2,53.100,36.900,138.100,,,,,54.500,3.743,2506,""
-6650,50.0,6371.2,53.583,36.417,38.170,,,,,50.200,3.461,10461,""
-6646,170.0,6371.2,26.068,63.932,-20.650,,,,,85.100,7.434,9226,""
-6646,170.0,6371.2,26.100,63.900,-20.600,20.500,8.723,75.200,2.228,68.500,7.033,3347,""
-6646,170.0,6371.2,26.040,63.960,-20.900,2.000,9.547,77.100,2.131,,,12323,""
-6646,170.0,6371.2,26.070,63.930,-20.655,5.300,9.443,71.600,2.981,,,12334,""
-6637,127.0,6371.2,69.365,20.635,-156.120,-2.500,2.965,41.800,2.210,,,7650,""
-6635,105.0,6371.2,43.240,46.760,7.110,-0.800,4.582,59.800,2.305,,,9099,""
-6600,50.0,6371.2,53.583,36.417,38.170,,,,,52.800,3.485,10460,""
-6550,50.0,6371.2,70.287,19.713,-155.054,,,,,59.100,5.900,12303,""
-6550,50.0,6371.2,70.287,19.713,-155.054,,,,,34.320,5.900,12304,""
-6550,50.0,6371.2,70.287,19.713,-155.054,,,46.100,2.247,39.000,8.337,12309,""
-6490,70.0,6371.2,70.880,19.120,-99.490,-22.600,4.225,55.900,2.369,44.500,8.995,2769,""
-6480,50.0,6371.2,70.469,19.531,-101.708,-32.400,2.886,13.700,2.803,26.000,5.897,11967,""
-6450,50.0,6371.2,53.583,36.417,38.170,,,,,52.500,3.388,10462,""
-6350,50.0,6371.2,53.583,36.417,38.170,,,,,48.100,3.396,10463,""
-6300,100.0,6371.2,35.000,55.000,105.000,,,,,73.100,12.460,11317,""
-6300,50.0,6371.2,61.622,28.378,-16.732,-5.400,3.426,36.700,2.747,36.900,3.373,10709,""
-6230,160.0,6371.2,46.700,43.300,-113.700,-8.400,6.793,59.600,3.438,,,5290,""
-6200,200.0,6371.2,36.000,54.000,107.500,,,,,67.600,8.046,2235,""
-6175,125.0,6371.2,53.583,36.417,38.170,,,,,45.000,3.592,10464,""
-6100,100.0,6371.2,35.000,55.000,105.000,,,,,49.600,8.858,11316,""
-6100,100.0,6371.2,45.300,44.700,21.200,,,,,37.280,5.198,9615,""
-6066,60.0,6371.2,53.660,36.340,42.352,,,,,40.400,3.322,11447,""
-6065,155.0,6371.2,43.240,46.760,7.110,11.900,5.565,56.100,3.104,,,9098,""
-6024,52.0,6371.2,53.660,36.340,42.352,,,,,42.600,3.370,11446,""
-6000,200.0,6371.2,53.300,36.700,39.000,,,,,40.900,3.320,1025,""
-5996,56.0,6371.2,53.660,36.340,42.352,,,,,40.600,3.329,11445,""
-5990,110.0,6371.2,43.240,46.760,7.110,18.700,6.817,56.100,3.802,,,9097,""
-5975,75.0,6371.2,53.583,36.417,38.170,,,,,45.800,3.321,10465,""
-5975,75.0,6371.2,53.583,36.417,38.170,,,,,42.700,3.301,10466,""
-5950,110.0,6371.2,49.000,41.000,22.000,-17.000,4.962,55.600,2.803,,,8853,""
-5948,51.0,6371.2,48.500,41.500,23.500,-9.200,4.801,64.000,2.104,53.720,3.555,9577,""
-5939,58.0,6371.2,53.660,36.340,42.352,,,,,44.100,3.531,11444,""
-5916,75.0,6371.2,47.600,42.400,23.100,-19.400,4.597,51.500,2.861,46.830,4.407,9580,""
-5894,64.0,6371.2,53.660,36.340,42.352,,,,,42.000,3.298,11443,""
-5890,100.0,6371.2,47.000,43.000,-122.100,15.400,8.386,65.800,3.438,,,5289,""
-5887,60.0,6371.2,53.660,36.340,42.352,,,,,41.100,3.314,11442,""
-5885,95.0,6371.2,43.240,46.760,7.110,29.400,8.975,61.900,4.228,,,9096,""
-5867,52.0,6371.2,53.660,36.340,42.352,,,,,44.900,3.370,11441,""
-5854,50.0,6371.2,53.660,36.340,42.352,,,,,40.900,3.298,11440,""
-5848,52.0,6371.2,53.660,36.340,42.352,,,,,41.600,3.438,11439,""
-5828,154.0,6371.2,25.955,64.045,-21.848,,,,,40.200,5.609,9225,""
-5825,75.0,6371.2,53.583,36.417,38.170,,,,,42.500,3.565,10467,""
-5790,80.0,6371.2,47.700,42.300,23.200,-24.470,6.312,63.630,2.803,56.530,4.067,9576,""
-5780,50.0,6371.2,43.240,46.760,7.110,10.600,15.418,73.100,4.482,,,9095,""
-5776,59.0,6371.2,48.100,41.900,23.500,,,,,55.420,3.635,9573,""
-5765,50.0,6371.2,53.600,36.400,42.400,,,,,46.500,8.562,6914,""
-5765,50.0,6371.2,53.600,36.400,42.400,,,,,52.200,3.311,6915,""
-5760,50.0,6371.2,47.300,42.700,23.300,-15.750,5.530,59.880,2.775,62.000,3.599,9572,""
-5754,80.0,6371.2,47.600,42.400,23.100,,,,,63.260,4.407,9579,""
-5750,50.0,6371.2,53.600,36.400,42.400,,,,,49.900,3.311,6916,""
-5750,100.0,6371.2,45.800,44.200,20.900,,,,,48.810,3.633,9334,""
-5750,100.0,6371.2,47.900,42.100,25.440,-0.500,4.849,62.400,2.247,43.390,3.625,9469,""
-5745,50.0,6371.2,53.600,36.400,42.400,,,,,50.700,4.216,6917,""
-5745,50.0,6371.2,53.600,36.400,42.400,,,,,46.700,4.482,6918,""
-5745,50.0,6371.2,53.600,36.400,42.400,,,,,50.900,4.482,6919,""
-5740,50.0,6371.2,48.000,42.000,24.100,,,,,52.360,4.650,9333,""
-5738,50.0,6371.2,53.600,36.400,42.400,,,,,51.100,4.972,6920,""
-5737,50.0,6371.2,53.661,36.339,42.349,,,,,43.100,4.214,10759,""
-5735,50.0,6371.2,47.300,42.700,23.300,-13.000,5.161,57.100,2.803,45.270,3.596,9571,""
-5735,100.0,6371.2,45.500,44.500,22.100,-20.800,6.731,60.810,3.283,49.220,5.192,9332,""
-5730,50.0,6371.2,53.600,36.400,42.400,,,,,42.800,4.216,6921,""
-5730,100.0,6371.2,47.300,42.700,23.300,,,,,44.880,4.672,9335,""
-5724,155.0,6371.2,48.500,41.500,23.500,-4.500,5.466,63.800,2.413,37.690,3.917,9591,""
-5724,60.0,6371.2,47.600,42.400,23.100,-4.100,4.582,60.900,2.228,59.030,3.625,9342,""
-5720,120.0,6371.2,47.100,42.900,-122.100,-3.400,10.349,70.600,3.438,,,5286,""
-5715,50.0,6371.2,53.600,36.400,42.400,,,,,51.200,4.482,6922,""
-5714,50.0,6371.2,53.661,36.339,42.349,,,,,46.400,3.366,10758,""
-5710,50.0,6371.2,53.600,36.400,42.400,,,,,49.400,4.972,6923,""
